Date,High,Low,Open,Close,Volume,Adj Close
2016-07-18,30.0,30.0,30.0,30.0,0.0,30.0
2016-07-19,30.0,30.0,30.0,30.0,0.0,30.0
2016-07-20,30.0,30.0,30.0,30.0,0.0,30.0
2016-07-21,30.0,30.0,30.0,30.0,0.0,30.0
2016-07-22,30.0,30.0,30.0,30.0,0.0,30.0
2016-07-25,22.0,22.0,22.0,22.0,0.0,22.0
2016-07-26,30.0,22.0,22.0,30.0,0.0,30.0
2016-07-27,30.0,30.0,30.0,30.0,0.0,30.0
2016-07-28,30.0,30.0,30.0,30.0,0.0,30.0
2016-07-29,30.0,30.0,30.0,30.0,0.0,30.0
2016-08-01,30.0,22.0,22.0,27.0,600.0,27.0
2016-08-02,22.0,22.0,22.0,22.0,200.0,22.0
2016-08-03,22.0,22.0,22.0,22.0,0.0,22.0
2016-08-04,22.0,22.0,22.0,22.0,0.0,22.0
2016-08-05,22.0,22.0,22.0,22.0,0.0,22.0
2016-08-08,20.600000381469727,20.0,20.600000381469727,20.0,200.0,20.0
2016-08-09,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-10,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-11,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-12,20.0,20.0,20.0,20.0,700.0,20.0
2016-08-15,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-16,20.0,17.0,20.0,20.0,300.0,20.0
2016-08-17,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-18,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-19,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-22,20.0,16.0,20.0,20.0,2100.0,20.0
2016-08-23,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-24,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-25,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-26,20.0,20.0,20.0,20.0,0.0,20.0
2016-08-29,20.0,16.0,20.0,16.0,300.0,16.0
2016-08-30,16.0,16.0,16.0,16.0,1200.0,16.0
2016-08-31,16.0,16.0,16.0,16.0,700.0,16.0
2016-09-01,18.0,18.0,18.0,18.0,100.0,18.0
2016-09-02,18.0,18.0,18.0,18.0,0.0,18.0
2016-09-06,18.200000762939453,15.0,18.200000762939453,15.0,700.0,15.0
2016-09-07,15.0,14.0,15.0,15.0,1500.0,15.0
2016-09-08,15.0,15.0,15.0,15.0,600.0,15.0
2016-09-09,16.0,16.0,16.0,16.0,100.0,16.0
2016-09-12,20.0,16.0,16.0,20.0,300.0,20.0
2016-09-13,18.0,18.0,18.0,18.0,0.0,18.0
2016-09-14,19.0,18.0,18.0,19.0,700.0,19.0
2016-09-15,19.0,19.0,19.0,19.0,200.0,19.0
2016-09-16,18.0,17.0,17.0,18.0,800.0,18.0
2016-09-19,18.0,18.0,18.0,18.0,0.0,18.0
2016-09-20,18.0,18.0,18.0,18.0,500.0,18.0
2016-09-21,18.0,18.0,18.0,18.0,0.0,18.0
2016-09-22,18.0,17.0,17.0,18.0,400.0,18.0
2016-09-23,17.600000381469727,17.200000762939453,17.200000762939453,17.600000381469727,300.0,17.600000381469727
2016-09-26,17.0,16.799999237060547,16.799999237060547,17.0,200.0,17.0
2016-09-27,17.0,17.0,17.0,17.0,0.0,17.0
2016-09-28,17.0,17.0,17.0,17.0,100.0,17.0
2016-09-29,17.0,17.0,17.0,17.0,0.0,17.0
2016-09-30,17.600000381469727,16.0,16.0,17.600000381469727,400.0,17.600000381469727
2016-10-03,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,0.0,17.600000381469727
2016-10-04,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,0.0,17.600000381469727
2016-10-05,17.0,17.0,17.0,17.0,0.0,17.0
2016-10-06,17.0,17.0,17.0,17.0,0.0,17.0
2016-10-07,16.0,14.0,14.0,16.0,100.0,16.0
2016-10-10,15.0,15.0,15.0,15.0,100.0,15.0
2016-10-11,15.0,15.0,15.0,15.0,0.0,15.0
2016-10-12,15.0,15.0,15.0,15.0,0.0,15.0
2016-10-13,15.0,14.0,14.0,14.0,300.0,14.0
2016-10-14,14.0,14.0,14.0,14.0,0.0,14.0
2016-10-17,14.0,14.0,14.0,14.0,100.0,14.0
2016-10-18,14.0,13.199999809265137,14.0,14.0,600.0,14.0
2016-10-19,14.0,14.0,14.0,14.0,0.0,14.0
2016-10-20,14.0,14.0,14.0,14.0,100.0,14.0
2016-10-21,14.0,14.0,14.0,14.0,0.0,14.0
2016-10-24,14.0,14.0,14.0,14.0,300.0,14.0
2016-10-25,16.0,14.0,14.0,16.0,300.0,16.0
2016-10-26,14.0,13.0,13.0,14.0,1300.0,14.0
2016-10-27,13.0,13.0,13.0,13.0,1100.0,13.0
2016-10-28,13.0,13.0,13.0,13.0,0.0,13.0
2016-10-31,13.0,12.199999809265137,13.0,13.0,900.0,13.0
2016-11-01,12.0,12.0,12.0,12.0,500.0,12.0
2016-11-02,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,100.0,10.199999809265137
2016-11-03,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0.0,10.199999809265137
2016-11-04,13.0,13.0,13.0,13.0,200.0,13.0
2016-11-07,13.0,13.0,13.0,13.0,0.0,13.0
2016-11-08,13.0,13.0,13.0,13.0,0.0,13.0
2016-11-09,13.0,13.0,13.0,13.0,0.0,13.0
2016-11-10,13.0,13.0,13.0,13.0,0.0,13.0
2016-11-11,13.0,13.0,13.0,13.0,200.0,13.0
2016-11-14,13.5,13.5,13.5,13.5,200.0,13.5
2016-11-15,13.5,13.5,13.5,13.5,200.0,13.5
2016-11-16,13.5,13.5,13.5,13.5,0.0,13.5
2016-11-17,13.489999771118164,13.489999771118164,13.489999771118164,13.489999771118164,200.0,13.489999771118164
2016-11-18,13.489999771118164,13.489999771118164,13.489999771118164,13.489999771118164,0.0,13.489999771118164
2016-11-21,12.5,8.0,12.5,8.0,1000.0,8.0
2016-11-22,10.0,10.0,10.0,10.0,100.0,10.0
2016-11-23,9.75,9.75,9.75,9.75,600.0,9.75
2016-11-25,9.75,7.75,9.75,7.75,1000.0,7.75
2016-11-28,9.0,9.0,9.0,9.0,800.0,9.0
2016-11-29,9.0,8.75,9.0,8.75,600.0,8.75
2016-11-30,10.0,10.0,10.0,10.0,2800.0,10.0
2016-12-01,10.0,9.850000381469727,10.0,9.850000381469727,1400.0,9.850000381469727
2016-12-02,9.0,9.0,9.0,9.0,1600.0,9.0
2016-12-05,10.0,9.0,9.0,9.949999809265137,1700.0,9.949999809265137
2016-12-06,10.5,10.0,10.0,10.5,2500.0,10.5
2016-12-07,10.0,10.0,10.0,10.0,1100.0,10.0
2016-12-08,10.0,8.0,8.0,8.0,1200.0,8.0
2016-12-09,10.0,10.0,10.0,10.0,300.0,10.0
2016-12-12,10.0,10.0,10.0,10.0,0.0,10.0
2016-12-13,10.0,10.0,10.0,10.0,0.0,10.0
2016-12-14,10.0,10.0,10.0,10.0,0.0,10.0
2016-12-15,9.25,9.25,9.25,9.25,500.0,9.25
2016-12-16,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,200.0,9.289999961853027
2016-12-19,8.0,7.0,8.0,7.75,6400.0,7.75
2016-12-20,7.489999771118164,7.489999771118164,7.489999771118164,7.489999771118164,100.0,7.489999771118164
2016-12-21,7.25,7.25,7.25,7.25,100.0,7.25
2016-12-22,7.300000190734863,6.900000095367432,7.300000190734863,6.900000095367432,2700.0,6.900000095367432
2016-12-23,7.5,6.0,6.0,7.489999771118164,1900.0,7.489999771118164
2016-12-27,6.599999904632568,6.0,6.599999904632568,6.5,1800.0,6.5
2016-12-28,6.550000190734863,6.550000190734863,6.550000190734863,6.550000190734863,100.0,6.550000190734863
2016-12-29,6.5,6.5,6.5,6.5,100.0,6.5
2016-12-30,10.5,7.25,7.25,10.34000015258789,5700.0,10.34000015258789
2017-01-03,10.0,9.5,10.0,10.0,1700.0,10.0
2017-01-04,10.0,9.010000228881836,9.75,9.369999885559082,3100.0,9.369999885559082
2017-01-05,9.369999885559082,9.369999885559082,9.369999885559082,9.369999885559082,0.0,9.369999885559082
2017-01-06,8.329999923706055,7.809999942779541,8.329999923706055,7.809999942779541,200.0,7.809999942779541
2017-01-09,7.800000190734863,7.800000190734863,7.800000190734863,7.800000190734863,400.0,7.800000190734863
2017-01-10,7.989999771118164,7.550000190734863,7.989999771118164,7.550000190734863,300.0,7.550000190734863
2017-01-11,6.699999809265137,6.699999809265137,6.699999809265137,6.699999809265137,100.0,6.699999809265137
2017-01-12,5.050000190734863,5.050000190734863,5.050000190734863,5.050000190734863,200.0,5.050000190734863
2017-01-13,5.050000190734863,5.050000190734863,5.050000190734863,5.050000190734863,0.0,5.050000190734863
2017-01-17,5.050000190734863,5.050000190734863,5.050000190734863,5.050000190734863,0.0,5.050000190734863
2017-01-18,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,100.0,5.800000190734863
2017-01-19,6.150000095367432,6.070000171661377,6.150000095367432,6.070000171661377,300.0,6.070000171661377
2017-01-20,6.070000171661377,5.5,6.070000171661377,5.5,600.0,5.5
2017-01-23,5.5,5.5,5.5,5.5,0.0,5.5
2017-01-24,5.050000190734863,5.0,5.050000190734863,5.0,400.0,5.0
2017-01-25,3.5,3.0,3.5,3.2300000190734863,269100.0,3.2300000190734863
2017-01-26,3.4000000953674316,3.0999999046325684,3.200000047683716,3.25,272600.0,3.25
2017-01-27,3.450000047683716,3.0999999046325684,3.180000066757202,3.1500000953674316,38900.0,3.1500000953674316
2017-01-30,3.299999952316284,2.950000047683716,3.049999952316284,2.950000047683716,23100.0,2.950000047683716
2017-01-31,3.1500000953674316,2.8499999046325684,2.9200000762939453,2.9200000762939453,26100.0,2.9200000762939453
2017-02-01,3.2100000381469727,2.75,3.200000047683716,2.75,36400.0,2.75
2017-02-02,3.1500000953674316,2.700000047683716,3.1500000953674316,2.700000047683716,48800.0,2.700000047683716
2017-02-03,2.950000047683716,2.5,2.6500000953674316,2.799999952316284,35300.0,2.799999952316284
2017-02-06,3.190000057220459,2.700000047683716,2.950000047683716,2.7899999618530273,22900.0,2.7899999618530273
2017-02-07,2.990000009536743,2.700000047683716,2.759999990463257,2.7100000381469727,14200.0,2.7100000381469727
2017-02-08,3.009999990463257,2.700000047683716,3.009999990463257,2.799999952316284,2900.0,2.799999952316284
2017-02-09,2.8399999141693115,2.5399999618530273,2.799999952316284,2.799999952316284,23100.0,2.799999952316284
